Name,Ticker
AMUNDI ETF MSCI EUROPE INDUSTRIALS,LON:AIND
AMUNDI ETF MSCI EUROPE ENERGY UCITS ETF,LON:ANRJ
AMUNDI ETF MSCI EUROPE MATERIALS,LON:C8M
AMUNDI ETF MSCI EUROPE BANKS UCITS ETF,LON:CB5
AMUNDI ETF MSCI EUROPE CONSUMER DISC,LON:CD6
AMUNDI ETF DAX UCITS ETF DR,LON:CG1
AMUNDI ETF MSCI EUROPE HEALTHCARE,LON:CH5
AMUNDI ETF MSCI ITALY UCITS ETF,EPA:CI1
AMUNDI ETF MSCI SPAIN UCITS ETF,LON:CS1
AMUNDI ETF MSCI EUROPE CONSUMER STP,LON:CS5
AMUNDI ETF MSCI EUROPE TELECOM SERVICES,LON:CT5
AMUNDI ETF MSCI EUROPE UTILITIES,LON:CU5
AMUNDI ETF MSCI UK UCITS ETF,LON:CUK
AMUNDI INDEX FTSE EPRA NAREIT GLOBAL DR,LON:EPRA
AMUNDI ETF EURO STOXX SMALL CAP,LON:ESM
AMUNDI INDEX BARCLAYS GLOBAL AGG 500M DR,LON:GAGG
AMUNDI J.P. MORGAN GLOBAL GOVIES DR,LON:GGOV
AMUNDI INDEX MSCI WORLD DR,LON:MWRD
AMUNDI INDEX MSCI NORTH AMERICA DR,LON:NRAM
AMUNDI S&P 500,LON:500G
AMUNDI S&P 500,LON:500U
AMUNDI MSCI EM ASIA,LON:AASG
AMUNDI MSCI EM ASIA,LON:AASU
AMUNDI MSCI EUROPE EX UK,LON:AEXK
AMUNDI MSCI EM LATIN AMERICA,LON:ALAG
AMUNDI MSCI EM LATIN AMERICA,LON:ALAU
AMUNDI NASDAQ-100,LON:ANXG
AMUNDI NASDAQ-100,LON:ANXU
AMUNDI MSCI EMERGING MARKETS,LON:AUEG
AMUNDI MSCI EMERGING MARKETS,LON:AUEM
AMUNDI MSCI BRAZIL UCITS ETF,LON:BRZ
AMUNDI S&P 500 BUYBACK,LON:BYBG
AMUNDI S&P 500 BUYBACK,LON:BYBU
AMUNDI MSCI CHINA,LON:CC1G
AMUNDI MSCI CHINA,LON:CC1U
AMUNDI MSCI EASTERN EUROPE EX RUSSIA,LON:CE9G
AMUNDI MSCI EASTERN EUROPE EX RUSSIA,LON:CE9U
AMUNDI MSCI EUROPE,LON:CEUR
AMUNDI MSCI INDIA,LON:CI2G
AMUNDI MSCI INDIA,LON:CI2U
AMUNDI INDEX MSCI JAPAN DR,LON:CJ1G
AMUNDI INDEX MSCI JAPAN DR,LON:CJ1U
AMUNDI INDEX MSCI EMU DR,LON:CMU
AMUNDI MSCI NORDIC,LON:CN1
AMUNDI INDEX MSCI PACIFIC EX JAPAN DR,LON:CP9G
AMUNDI INDEX MSCI PACIFIC EX JAPAN DR,LON:CP9U
AMUNDI MSCI SWITZERLAND,LON:CSWG
AMUNDI MSCI SWITZERLAND,LON:CSWU
AMUNDI MSCI USA,LON:CU2G
AMUNDI MSCI USA,LON:CU2U
AMUNDI MSCI WORLD,LON:CW8G
AMUNDI MSCI WORLD,LON:CW8U
AMUNDI MSCI WORLD ENERGY,LON:CWEG
AMUNDI MSCI WORLD ENERGY,LON:CWEU
AMUNDI MSCI WORLD FINANCIALS,LON:CWFG
AMUNDI MSCI WORLD FINANCIALS,LON:CWFU
AMUNDI FTSE EPRA EUROPE REAL ESTATE,LON:EPRE
AMUNDI FTSE 100 UCITS ETF - GBP,LON:FT1K
AMUNDI NIK400 DH GBP,LON:JPHG
AMUNDI NIK400 DH USD,LON:JPHU
AMUNDI JPX-NIKKEI 400,LON:JPNY
AMUNDI S&P GLOBAL LUXURY,LON:LUXG
AMUNDI S&P GLOBAL LUXURY,LON:LUXU
AMUNDI MSCI EUROPE MIN VOL FACTOR,LON:MIVO
AMUNDI RUSSELL 2000,LON:RS2G
AMUNDI RUSSELL 2000,LON:RS2U
AMUNDI INDEX GLOBAL MULTI SMART BETA,LON:SMRG
AMUNDI INDEX GLOBAL MULTI SMART BETA,LON:SMRU
AMUNDI JAPAN TOPIX DH GBP,LON:TPHG
AMUNDI JAPAN TOPIX DH USD,LON:TPHU
AMUNDI JAPAN TOPIX,LON:TPXG
AMUNDI JAPAN TOPIX,LON:TPXU
BMO BARCLAYS 1-3 GCB GBP UCITS ETF,LON:ZC1G
BMO BARCLAYS 3-7 GCB GBP UCITS ETF,LON:ZC3G
BMO BARCLAYS 7-10 GCB GBP UCITS ETF,LON:ZC7G
BMO MSCI EMERGING MARKETS UCITS ETF,LON:ZEMI
BMO BARCLAYS GHYB GBP UCITS ETF,LON:ZHYG
BMO MSCI EUR EX-UK IN GBP UCITS ETF,LON:ZIEG
BMO MSCI EM IN LED USD UCITS ETF,LON:ZIEM
BMO EU EX UK INCOME LEADERS UCITS ETF,LON:ZIEU
BMO MSCI EUR EX-UK IN UCITS ETF,LON:ZILE
BMO MSCI UK IN LED UCITS ETF,LON:ZILK
BMO MSCI USA IN LED UCITS ETF,LON:ZILS
BMO MSCI USA IN LED GBP UCITS ETF,LON:ZISG
BMO USA INCOME LEADERS UCITS ETF,LON:ZIUS
BMO ENHANCED INCOME EUR EQUITY UCITS ETF,LON:ZWEE
BMO ENHANCED INCOME EUR EQUITY UCITS ETF,LON:ZWEU
BMO ENHANCED INCOME UK EQUITY UCITS ETF,LON:ZWUK
BMO ENHANCED INCOME USA EQUITY UCITS ETF,LON:ZWUS
BMO ENHANCED INCOME USA EQUITY UCITS ETF,LON:ZWUU
CBK CCBI RQFII MONEY MARKET UCITS ETF,LON:CCME
CBK CCBI RQFII MONEY MARKET UCITS ETF,LON:CCMG
CBK CCBI RQFII MONEY MARKET UCITS ETF,LON:CCMR
ETFS G10 VS USD MULTI STRAT FX BASKET,LON:ENFX
ETFS BEAR USD VS COMDTY CCY BASKET SEC,LON:LCOM
ETFS BULL USD VS COMDTY CCY BASKET SEC,LON:SCOM
EM QUALITY INCOME UCITS USD ACC,LON:FEMI
EM QUALITY INCOME UCITS GBP ACC,LON:FEMQ
EUROPE QUALITY INCOME UCITS GBP ACC,LON:FEQD
EUROPE QUALITY INCOME UCITS GBP ACC HED,LON:FEQP
GLOBAL QUALITY INCOME UCITS ETF GBP INC,LON:FGQD
GLOBAL QUALITY INCOME UCITS ETF USD INC,LON:FGQI
GLOBAL QUALITY INCOME UCITS GBPACC HED,LON:FGQP
US QUALITY INCOME UCITS ETF GBP ACC,LON:FUQA
US QUALITY INCOME UCITS ETF USD ACC,LON:FUSA
US QUALITY INCOME UCITS ETF USD INC,LON:FUSD
US QUALITY INCOME UCITS ETF GBP INC,LON:FUSI
US QUALITY INCOME UCITS GBPACC HED,LON:FUSP
FINEX RUSSIAN CORPORATE BONDS USD,LON:FXRU
FIRST TRUST INNOVATIVE TECH UCITS ETF,LON:BLOK
FT DOW JONES INTERNET UCITS ETF,LON:FDN
FT DOW JONES INTERNET UCITS ETF,LON:FDNU
FT EMERGING MARKETS ALPHADEX UCITS ETF,LON:FEM
FIRST TRUST EM ALPHADEX UCITS ETF,LON:FEMU
FIRST TRUST EUROZONE ALPHADEX UCITSETF B,LON:FEUD
FIRST TRUST EUROZONE ALPHADEX UCITS ETF,LON:FEUZ
FT US LARGE CAP CORE ALPHADEX UCITS ETF,LON:FEX
FIRSTTRUST US LGCAPCORE ALPHADEX UCITS,LON:FEXD
FT US LARGE CAP CORE ALPHADEX UCITS ETF,LON:FEXU
FIRST TRUST GLOBAL EQUITY INC UCITS ETF,LON:FGBL
FIRSTTRUST JAPAN ALPHADEX UCITS,LON:FJP
FIRST TRUST JAPAN ALPHADEX UCITS ETF,LON:FJPU
FT UNITED KINGDOM ALPHADEX UCITS ETF,LON:FKU
FIRSTTRUST UK ALPHADEX UCITS ETF CLASS B,LON:FKUD
FIRSTTRUST US IPO INDEX UCITS,LON:FPX
FIRST TRUST EUROZONE ALPHADEX UCITS ETF,LON:FTEU
FIRSTTRUSTFACTORFX UCITS CLASSA,LON:FTFX
FIRSTTRUSTFACTORFX UCITS CLASSB,LON:FXGB
FIRSTTRUSTUSSMALLCAPCOREALPHADEXUCITS,LON:FYX
FIRSTTRUST GLOBALEQUITY INCOME UCITS ETF,LON:GINC
FIRST TRUST INNOVATIVE TECH UCITS ETF,LON:LEGR
FIRST TRUST US EQUITY INCOME UCITS ETF,LON:UINC
FRK LIB EURO SHORT MATURITY UCITS ETF,LON:FLES
FRK LIB USD IG CORP BOND UCITS ETF,LON:FLUC
FRK LIBERTYQ EUROPEAN DIVIDEND UCITS ETF,LON:FLXD
FRK LIBERTYQ EMERGING MARKETS UCITS ETF,LON:FLXE
FRK LIBERTYQ GLOBAL EQUITY SRI UCITS ETF,LON:FLXG
FRK LIBERTYQ U.S. EQUITY UCITS ETF,LON:FLXU
FRK LIBERTYQ GLOBAL DIVIDEND UCITS ETF,LON:FLXX
FRK LIBERTYQ EMERGING MARKETS UCITS ETF,LON:FREM
FRK LIBERTYQ GLOBAL DIVIDEND UCITS ETF,LON:FRGD
FRK LIBERTYQ GLOBAL EQUITY SRI UCITS ETF,LON:FRGE
FRK LIB USD IG CORP BOND UCITS ETF,LON:FRUC
FRK LIBERTYQ U.S. EQUITY UCITS ETF,LON:FRUE
FRK LIBERTYQ EUROPEAN DIVIDEND UCITS ETF,LON:FRXD
FRK LIB EURO SHORT MATURITY UCITS ETF,LON:FRXE
FTSE CHINA ONSHORE BANK BOND 1-10 YR EUR,LON:RMB1
FTSE CHINA ONSHORE BANK BOND 1-10 YR USD,LON:RMB2
SCI BETA HFE EUROPE EQUITY 6F EW,LON:EHEF
SCIBETA HFE EM EQUITY 6F EW,LON:EMHF
MS GLOBAL EQUITY FACTORS UCITS ETF USD,LON:GEF
SCIBETA HFE JAPAN EQUITY 6F,LON:JHEF
SCIBETA HFE PACIFIC EX-JAP EQUITY,LON:PHEF
MS US EQUITY FACTORS UCITS ETF,LON:USEF
SCIBETA HFE US EQUITY 6F EW,LON:USHF
GF INTERNATIONAL-FTSE CHINA A UCITS ETF,LON:PRCE
HSBC EURO STOXX 50 UCITS ETF,LON:H50E
HSBC MSCI BRAZIL UCITS ETF $,LON:HBRL
HSBC MSCI CANADA UCITS ETF $,LON:HCAD
HSBC MSCI CANADA UCITS ETF,LON:HCAN
HSBC ECONOMIC SCALE WORLDWIDE EQ UCITS £,LON:HEWA
HSBC ECONOMIC SCALE WORLDWIDE EQ UCITS $,LON:HEWD
HSBC MSCI INDONESIA UCITS ETF $,LON:HIDD
HSBC MSCI INDONESIA UCITS ETF,LON:HIDR
