Name,Ticker
1PM PLC,LON:OPM
1SPATIAL PLC,LON:SPA
21ST CENTURY TECHNOLOGY PLC,LON:C21
3I GROUP PLC,LON:III
3I INFRASTRUCTURE PLC,LON:3IN
4D PHARMA PLC,LON:DDDD
4IMPRINT GROUP PLC,LON:FOUR
600 GROUP PLC,LON:SIXH
7DIGITAL GROUP PLC,LON:7DIG
888 HOLDINGS PLC,LON:888
88 ENERGY LIMITED,LON:88E
AA PLC,LON:AA.
ABBEY PLC,LON:ABBY
ABCAM PLC,LON:ABC
AB DYNAMICS PLC,LON:ABDP
ABERDEEN ASIAN INCOME FUND LTD,LON:AAIF
ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC,LON:AAS
ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,LON:ADIG
ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,LON:AEMC
ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED,LON:AFMC
ABERDEEN JAPAN INVESTMENT TRUST PLC,LON:AJIT
ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,LON:ALAI
ABERDEEN NEW DAWN INVESTMENT TRUST PLC,LON:ABD
ABERDEEN NEW INDIA INVESTMENT TRUST PLC,LON:ANII
ABERDEEN NEW THAI INVESTMENT TRUST PLC,LON:ANW
ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,LON:ASCI
ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,LON:ASLI
ABERFORTH SMALLER COMPANIES TRUST PLC,LON:ASL
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIT
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIZ
ABZENA PLC,LON:ABZA
ACACIA MINING PLC,LON:ACA
ACCESS INTELLIGENCE PLC,LON:ACC
ACCESSO TECHNOLOGY GROUP PLC,LON:ACSO
ACCROL GROUP HOLDINGS PLC,LON:ACRL
ACCSYS TECHNOLOGIES PLC,LON:AXS
ACENCIA DEBT STRATEGIES LTD,LON:ACD
ACORN INCOME FUND LD,LON:AIF
ACORN INCOME FUND LD,LON:AIFZ
ACTION HOTELS PLC,LON:AHCG
ACTIVE ENERGY GROUP PLC,LON:AEG
ACTUAL EXPERIENCE PLC,LON:ACT
ADAMAS FINANCE ASIA LIMITED,LON:ADAM
ADAMS PLC,LON:ADA
ADEPT4 PLC ,LON:AD4
ADEPT TELECOM PLC,LON:ADT
ADES INTERNATIONAL HOLDING LTD,LON:ADES
ADMIRAL GROUP PLC,LON:ADM
ADVANCED MEDICAL SOLUTIONS GROUP PLC,LON:AMS
ADVANCED ONCOTHERAPY PLC,LON:AVO
ADVFN PLC,LON:AFN
AECI LD,LON:87FZ
AEOREMA COMMUNICATIONS PLC,LON:AEO
AEW UK LONG LEASE REIT PLC,LON:AEWL
AEW UK REIT PLC,LON:AEWU
AFARAK GROUP PLC,LON:AFRK
